SUMMARY;DESCRIPTION;DTSTART;DTEND;LOCATION;CATEGORIES;UID
R1.10;RT1-TP_B2 KOTTI IMEN;20251215T150000Z;20251215T170000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313339342d322d30
R1.06;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251210T130000Z;20251210T170000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31343631302d302d31
R1.07;RT1-B LAURENT NILS;20250919T060000Z;20250919T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31353039342d302d30
R1.11 COMMUNICATION;RT1-B DIOLEZ JULIE;20251209T130000Z;20251209T150000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d34363837342d302d33
--------------------Contrôle des Absences - Bureau de Mme Zeryouh;RT1-S1 RT2-TP_C_FI RT2-TP_R_FI ZERYOUH NEZHA;20251021T100000Z;20251021T103000Z;;;ADE60323032352d3230323653542d455449454e4e452d34393930372d302d30
SAE1.04 SUIVI PROJET;RT1-TP_B1 MATICHARD PIERRE-JEAN;20251120T070000Z;20251120T080000Z;G_010;;ADE60323032352d3230323653542d455449454e4e452d33303533322d302d30
R1.07 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251104T150000Z;20251104T170000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31363631392d302d33
Soutien RT1-RT2 (Non Obligatoire);RT1-S1;20260115T130000Z;20260115T170000Z;G_002\,D_110\,G_004\,G_007\,D_028\,D_026\,D_032;;ADE60323032352d3230323653542d455449454e4e452d31333036352d302d38
Jeu de piste sur le campus par équipe;RT1-S1;20250901T093000Z;20250901T103000Z;;;ADE60323032352d3230323653542d455449454e4e452d31313231372d302d30
R1.12 EN 2EME;RT1-B Armoire PC portable NEJJAR NABIH;20251127T070000Z;20251127T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33303234382d302d32
R1.11 METHODO;RT1-B BARNAY FABIENNE;20251103T140000Z;20251103T150000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d313833322d302d30
R1.02;RT1-B CHAMBERT CHRISTOPHE;20250930T140000Z;20250930T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d34313838352d302d32
R1.01c;RT1-TP_A1 MARTINI PIERRE;20251014T140000Z;20251014T160000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303435332d302d31
SAE1.03 SUIVI;RT1-TP_B2 EL BADAOUI MOHAMED;20251107T070000Z;20251107T080000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32383130362d302d33
SAE1.05 TP 2H;RT1-TP_A2 BIARD MATHIEU;20251219T070000Z;20251219T090000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d33373831372d302d30
SAE1.01;RT1-TP_A2;20250912T130000Z;20250912T140000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31363532312d312d32
R1.08;RT1-B MARTINI PIERRE;20250905T140000Z;20250905T160000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31343633332d302d30
SAE1.05 SUIVI PROJET;RT1-TP_B1 BIARD MATHIEU;20260105T070000Z;20260105T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33353435332d302d34
SAE1.04 PROJET;RT1-TP_B1;20251120T080000Z;20251120T090000Z;G_010;;ADE60323032352d3230323653542d455449454e4e452d33303532352d302d36
SAE1.05 PROJET A2;RT1-TP_A2;20251219T090000Z;20251219T110000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32343535372d302d30
R1.07 TP;RT1-TP_B2 EL AMLI AMINE;20251021T120000Z;20251021T140000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31363633372d302d36
SAE1.04 PROJET;RT1-TP_B2;20251205T140000Z;20251205T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33303532382d302d35
R1.14;RT1-S1 GAULTIER BEATRICE;20251016T090000Z;20251016T100000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d35353530392d302d30
SAE1.05 PROJET A2;RT1-TP_A2;20260106T090000Z;20260106T110000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32343535372d302d31
R1.11 METHODO;RT1-B BARNAY FABIENNE;20251127T090000Z;20251127T110000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d313833322d312d30
SAE1.05 PROJET B1;RT1-TP_B1;20260107T070000Z;20260107T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33363333382d312d30
SAE1.02 PROJET;RT1-TP_A2;20251209T130000Z;20251209T140000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31383436312d332d31
Contrôle des Absences - Bureau de Mme Zeryouh;RT2-S3 RT1-S1 ZERYOUH NEZHA;20251125T110000Z;20251125T113000Z;;;ADE60323032352d3230323653542d455449454e4e452d33343830382d302d31
R1.05;RT1-TP_A2 HEYRAUD CHRISTOPHE;20250926T110000Z;20250926T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d3332322d302d31
R1.04 ELECTRONIQUE;RT1-A AZZOUNI SOUMAYA;20251016T070000Z;20251016T090000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d31333631332d302d30
R1.13 TDB;RT1-B GRIZONNET YANN;20251008T140000Z;20251008T160000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d313235322d302d33
SAE1.02 PROJET;RT1-TP_B1;20251204T090000Z;20251204T110000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436332d302d31
R1.10;RT1-A TCHEN CASSANDRA;20250916T080000Z;20250916T100000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d32343039312d352d30
R1.06;RT1-A HEYRAUD CHRISTOPHE;20251203T090000Z;20251203T110000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d35303739362d332d30
R1.11 COMMUNICATION;RT1-A DIOLEZ JULIE;20251209T090000Z;20251209T110000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d34363837322d302d33
PRESENTATION TUTORAT/ CONTRAT PEDAGO;RT1-TP_A1 RT1-TP_B2 RT1-TP_A2 RT1-TP_B1 NEJJAR NABIH;20250923T123000Z;20250923T140000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d34393235322d302d30
R1.15;RT1-A GUILLOT TIPHANIE;20251001T120000Z;20251001T140000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31393831372d312d30
SAE1.05 SUIVI PROJET;RT1-TP_A1 BIARD MATHIEU;20260108T070000Z;20260108T080000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33353434372d302d34
R1.05;RT1-A HEYRAUD CHRISTOPHE;20250922T060000Z;20250922T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d3133312d302d32
R1.10;RT1-TP_B2 KOTTI IMEN;20251120T070000Z;20251120T090000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d33313339342d312d30
SAE1.01 SUIVI;RT1-TP_B1 AZZOUNI SOUMAYA;20250909T060000Z;20250909T070000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363533352d302d30
R1.06;RT1-S1 HEYRAUD CHRISTOPHE;20251023T060000Z;20251023T080000Z;A_021 amphi;;ADE60323032352d3230323653542d455449454e4e452d31333439342d302d30
R1.11 Voltaire B1;BARNAY FABIENNE RT1-TP_B1;20251217T100000Z;20251217T110000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d36333638302d302d33
SAE1.03 SOUTENANCE;RT1-TP_B2 EL BADAOUI MOHAMED;20251128T070000Z;20251128T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313236322d302d30
R1.10;RT1-TP_B2 KOTTI IMEN;20251210T150000Z;20251210T170000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313339342d342d30
SAE1.04 PROJET;RT1-TP_B2;20251205T130000Z;20251205T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33303532382d302d31
SAE1.03 SUIVI;RT1-TP_B2 EL BADAOUI MOHAMED;20251121T070000Z;20251121T080000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32383130362d302d31
SAE1.02 SUIVI PROJET;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251204T090000Z;20251204T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32303335312d302d30
R1.01c;RT1-TP_B1 MARTINI PIERRE;20251017T140000Z;20251017T160000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303935352d302d30
SAE1.03;RT1-TP_B1;20251113T090000Z;20251113T100000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313233382d312d31
